0,index,time,mass,velocity,momentum,kinetic energy
2,2,48321,75.0,10.42,781.5,4072.04
0,0,48390,10.0,97.12,971.2,47163.14
1,1,48390,7.0,102.67,718.69,36898.27
2,2,48390,75.0,10.42,781.5,4072.04
0,0,48407,10.0,89.52,895.2,40077.33
1,1,48407,7.0,102.67,718.69,36898.27
2,2,48407,75.0,17.24,1292.99,11157.84
0,0,48457,10.0,89.52,895.2,40077.33
1,1,48457,7.0,102.67,718.69,36898.27
2,2,48457,75.0,17.24,1292.99,11157.84
0,0,48576,10.0,89.52,895.2,40077.33
1,1,48576,7.0,102.67,718.69,36898.27
2,2,48576,75.0,17.24,1292.99,11157.84
0,0,48578,10.0,89.52,895.2,40077.33
1,1,48578,7.0,102.67,718.69,36898.27
2,2,48578,75.0,17.24,1292.99,11157.84
0,0,48730,10.0,66.29,662.9,21972.51
1,1,48730,7.0,125.36,877.52,55003.09
2,2,48730,75.0,17.24,1292.99,11157.84
0,0,48732,10.0,66.29,662.9,21972.51
1,1,48732,7.0,125.36,877.52,55003.09
2,2,48732,75.0,17.24,1292.99,11157.84
0,0,48746,10.0,66.29,662.9,21972.51
1,1,48746,7.0,125.36,877.52,55003.09
2,2,48746,75.0,17.24,1292.99,11157.84
0,0,48882,10.0,66.29,662.9,21972.51
1,1,48882,7.0,125.36,877.52,55003.09
2,2,48882,75.0,17.24,1292.99,11157.84
0,0,49035,10.0,101.89,1018.9,51913.33
1,1,49035,7.0,84.62,592.34,25062.27
2,2,49035,75.0,17.24,1292.99,11157.84
0,0,49085,10.0,101.89,1018.9,51913.33
1,1,49085,7.0,84.62,592.34,25062.27
2,2,49085,75.0,17.24,1292.99,11157.84
0,0,49102,10.0,101.89,1018.9,51913.33
1,1,49102,7.0,84.62,592.34,25062.27
2,2,49102,75.0,17.24,1292.99,11157.84
0,0,49135,10.0,101.89,1018.9,51913.33
1,1,49135,7.0,84.62,592.34,25062.27
2,2,49135,75.0,17.24,1292.99,11157.84
0,0,49271,10.0,101.89,1018.9,51913.33
1,1,49271,7.0,84.62,592.34,25062.27
2,2,49271,75.0,17.24,1292.99,11157.84
0,0,49321,10.0,51.92,519.2,13483.09
1,1,49321,7.0,134.68,942.76,63492.51
2,2,49321,75.0,17.24,1292.99,11157.84
0,0,49441,10.0,51.92,519.2,13483.09
1,1,49441,7.0,134.68,942.76,63492.51
2,2,49441,75.0,17.24,1292.99,11157.84
0,0,49459,10.0,51.92,519.2,13483.09
1,1,49459,7.0,134.68,942.76,63492.51
2,2,49459,75.0,17.24,1292.99,11157.84
0,0,49476,10.0,51.92,519.2,13483.09
1,1,49476,7.0,140.46,983.22,69054.94
2,2,49476,75.0,12.21,915.75,5595.41
0,0,49492,10.0,51.92,519.2,13483.09
1,1,49492,7.0,140.46,983.22,69054.94
2,2,49492,75.0,12.21,915.75,5595.41
0,0,49594,10.0,51.92,519.2,13483.09
1,1,49594,7.0,132.49,927.43,61441.5
2,2,49594,75.0,18.76,1407.0,13208.85
0,0,49596,10.0,51.92,519.2,13483.09
1,1,49596,7.0,132.49,927.43,61441.5
2,2,49596,75.0,18.76,1407.0,13208.85
0,0,49680,10.0,51.92,519.2,13483.09
1,1,49680,7.0,132.49,927.43,61441.5
2,2,49680,75.0,18.76,1407.0,13208.85
0,0,49799,10.0,51.92,519.2,13483.09
1,1,49800,7.0,81.44,570.07,23217.34
2,2,49800,75.0,37.03,2777.25,51433.0
0,0,49934,10.0,51.92,519.2,13483.09
1,1,49934,7.0,81.44,570.07,23217.34
2,2,49934,75.0,37.03,2777.25,51433.0
0,0,49952,10.0,74.05,740.5,27424.34
1,1,49952,7.0,51.48,360.35,9276.09
2,2,49952,75.0,37.03,2777.25,51433.0
0,0,50054,10.0,74.05,740.5,27424.34
1,1,50054,7.0,51.48,360.35,9276.09
2,2,50054,75.0,37.03,2777.25,51433.0
